,Date,Age,Gender,Profession,Methodology,Reason,Time,District,Source
200,2/18/2011,19 to 26,Female,Beauty parlour worker,Hanging,family feud,14:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=174652
648,11/1/2012,19 to 26,Male,not given,Hanging,personal problem,not given,Bogra,http://archive.thedailystar.net/newDesign/news-details.php?nid=256054
563,7/28/2012,19 to 26,Male,Student,Setting fire,personal problem,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=244256
614,9/21/2012,19 to 26,Female,Housewife,Hanging,mental illness,15:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=250787
404,1/2/2012,19 to 26,Female,Garment worker,Hanging,family feud,9:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=216771
584,8/25/2012,19 to 26,Female,Student,Hanging,physical illness,not given,Rangpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=247255
579,8/24/2012,19 to 26,Male,not given,Poison,personal problem,18:30:00,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=247115
576,8/22/2012,19 to 26,Female,Housewife,Hanging,family feud,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=246706
553,7/21/2012,19 to 26,Female,Housewife,Hanging,quarrel with spouse,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=243089
220,3/11/2011,19 to 26,Female,student,Poison,personal problem,not given,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=177384
400,12/28/2011,19 to 26,Female,Garment worker,Hanging,family feud,15:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=216104
1,1/5/2010,19 to 26,Male,Police,Shooting,family feud,0:10:00,Dinajpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=120657
15,2/6/2010,19 to 26,Female,Housewife,Hanging,family feud,9:00:00,Narail,http://archive.thedailystar.net/newDesign/news-details.php?nid=125218
16,2/5/2010,19 to 26,Female,Student,Hanging,family feud,Morning,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=125218
18,2/13/2010,19 to 26,Female,Housewife,Poison,torture,18:30:00,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=126371
20,2/12/2010,19 to 26,Female,Housewife,Hanging,torture,Night,Sylhet,http://archive.thedailystar.net/newDesign/news-details.php?nid=126371
23,2/23/2010,19 to 26,Female,Housewife,Hanging,family feud,9:00:00,Chapainawabganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=127696
34,3/7/2010,19 to 26,Female,Housewife,Poison,family feud,Morning,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=129275
38,3/9/2010,19 to 26,Female,Housewife,Hanging,family feud,16:30:00,Meherpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=129560
383,11/20/2011,19 to 26,Female,student,Hanging,frustration,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=211024
877,4/9/2014,19 to 26,Male,Not mentioned,Hanging,family feud,Morning,Brahmanbaria,http://www.thedailystar.net/newsarchive/snippets-19546
68,5/29/2010,19 to 26,Female,Housewife,Hanging,family feud,Evening,Bogra,http://archive.thedailystar.net/newDesign/news-details.php?nid=140885
852,2/14/2014,19 to 26,Female,Divorced housewife,Hanging,sexually abused,Night,Jhenidah,http://www.thedailystar.net/she-chooses-to-embrace-death-11657
841,1/7/2014,19 to 26,Male,Patient,Jumping off building,personal problem,5:00:00,Dhaka,http://www.thedailystar.net/youth-kills-himself-at-dmch-5902
76,7/19/2010,19 to 26,Female,Not given,Hanging,family feud,Night,Lalmonirhat,http://archive.thedailystar.net/newDesign/news-details.php?nid=147669
88,8/4/2010,19 to 26,Female,Housewife,Poison,torture,10:00:00,Naogaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=150296
792,9/4/2013,19 to 26,Male,not given,Jumped in front of train,family feud,Night,Chuadanga,http://archive.thedailystar.net/beta2/news/snippets-92/
110,9/1/2010,19 to 26,Female,Housewife,Poison,torture,not given,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=153712
121,9/15/2010,19 to 26,Male,not given,Poison,physical illness,not given,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=154654
736,6/8/2013,19 to 26,Male,Shopkeeper,hanging,mental illness,Night,Chittagong,http://archive.thedailystar.net/beta2/news/news-in-brief-116/
136,10/2/2010,19 to 26,Male,Rickshaw-puller,Poison,family feud,13:00:00,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=156940
715,4/13/2014,19 to 26,Female,Housewife,Poison,quarrel with spouse,Night,Bogra,http://archive.thedailystar.net/beta2/news/snippets-9/
521,5/23/2012,19 to 26,Female,Housewife,Hanging,family feud,Night,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=235591
709,4/5/2013,19 to 26,Female,Housewife,hanging,family feud,Evening,Bogra,http://archive.thedailystar.net/beta2/news/girl-woman-commit-suicide/
305,7/19/2011,19 to 26,Female,student,Hanging,mobile clips,night,Barisal,http://archive.thedailystar.net/newDesign/news-details.php?nid=194921
494,4/23/2012,19 to 26,Male,Student,Poison,family feud,Morning,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=231372
512,5/12/2012,19 to 26,Male,Lab assistant,Hanging,personal problem,Night,Chittagong,http://archive.thedailystar.net/newDesign/news-details.php?nid=234095
287,6/18/2011,19 to 26,Male,not given,Hanging,drug addiction,afternoon,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=190641
286,6/17/2011,19 to 26,Male,student,Hanging,illness,night,Chittagong,http://archive.thedailystar.net/newDesign/news-details.php?nid=190480
495,4/23/2012,19 to 26,Female,Student,Hanging,personal problem,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=231615
479,4/5/2012,19 to 26,Male,Student,Hanging,personal problem,9:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=229256
488,4/10/2012,19 to 26,Male,Student,Hanging,family feud,-,Dinajpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=229853
884,4/21/2014,19 to 26,Female,Housewife,Poison,family feud,Night,Jessore,http://www.thedailystar.net/newsarchive/snippets-21204
645,10/29/2012,19 to 26,Female,Student,Hanging,family feud,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=255621
804,10/3/2013,19 to 26,Male,Police,Shooting,family feud,-,Rangamati,http://archive.thedailystar.net/beta2/news/snippets-110/
683,2/2/2013,19 to 26,Female,Housewife,hanging,quarrel with spouse,Morning,Chittagong,http://archive.thedailystar.net/newDesign/news-details.php?nid=267607
848,2/5/2014,19 to 26,Female,Day labourer,Hanging,family feud ; financial problems,Night,Dhaka,http://www.thedailystar.net/news-in-brief-10165
91,8/10/2010,19 to 26,Female,Housewife,Hanging,torture,not given,Khagrachhari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150414
87,8/10/2010,19 to 26,Female,Housewife,Hanging,torture,Noon,Khagrachhari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150296
177,1/17/2011,19 to 26,Female,not given,Hanging,family feud,21:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=170749
285,6/14/2011,19 to 26,Female,housewife,Hanging,family feud,night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=190015
898,6/4/2014,19 to 26,Male,Student,Train,mental disorder,Morning,Bogra,http://www.thedailystar.net/newsarchive/snippets-27068
656,11/13/2012,19 to 26,Female,Housewife,Hanging,family feud,Morning,Sunamganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=257416
935,8/28/2014,19 to 26,Female,Housewife,Hanging,family feud,-,Chittagong,http://www.thedailystar.net/news-in-brief-39228
766,7/26/2013,19 to 26,Female,Housewife,Hanging,family feud,2:00:00,Dhaka,http://archive.thedailystar.net/beta2/news/3-commit-suicide-in-capital/
352,9/24/2011,19 to 26,Female,housewife,Hanging,family feud,night,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=203915
631,10/4/2012,19 to 26,Female,Student,Hanging,personal problem,Morning,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=252558
126,9/18/2010,19 to 26,Male,Student,Jumping off building,drug addict,6:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=155061
634,10/19/2012,19 to 26,Female,Housewife,Hanging,family feud,not given,Tangail,http://archive.thedailystar.net/newDesign/news-details.php?nid=254570
123,9/15/2010,19 to 26,Female,not given,Poison,family feud,Morning,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=154785
29,3/1/2010,19 to 26,Female,Housewife,Hanging,family feud,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=128346
238,4/12/2011,19 to 26,Female,housewife,Poison,family feud,20:00:00,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=181548
196,2/10/2011,19 to 26,Female,housewife,Hanging,tortured,not given,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=173725
668,12/20/2012,19 to 26,Female,Housewife,Poison,family feud,Night,Nilphamari,http://archive.thedailystar.net/newDesign/news-details.php?nid=262337
869,3/24/2014,19 to 26,Female,Housewife,Hanging,mental illness,Night,Dhaka,http://www.thedailystar.net/news-in-brief-17174
663,11/28/2012,19 to 26,Male,Shopkeeper,Hanging,family feud,Morning,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=259166
78,7/25/2010,19 to 26,Male,Student,Jumping off river,personal problem,unknown,Cox's Bazar,http://archive.thedailystar.net/newDesign/news-details.php?nid=148936
124,9/15/2010,19 to 26,Female,not given,Poison,family feud,15:30:00,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=154785
380,11/15/2011,19 to 26,Female,housewife,Hanging,argument,13:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=210319
35,3/7/2010,19 to 26,Female,Housewife,Poison,family feud,14:30:00,Meherpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=129275
525,5/27/2012,19 to 26,Male,Garment worker,Hanging,personal problem,-,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=235964
304,7/16/2011,19 to 26,Female,housewife,Hanging,family feud,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=194652
684,2/2/2013,19 to 26,Female,Housewife,hanging,quarrel with spouse,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=267788
779,8/10/2013,19 to 26,Female,Housewife,Hanging,family feud,Morning,Thakurgaon,http://archive.thedailystar.net/beta2/news/six-commit-suicide-in-three-districts/
774,8/5/2013,19 to 26,Female,Housewife,Hanging,personal problem,11:30:00,Sirajganj,http://archive.thedailystar.net/beta2/news/snippets-78/
437,2/18/2012,19 to 26,Female,Housewife,Hanging,marital problem,1:00:00,Natore,http://archive.thedailystar.net/newDesign/news-details.php?nid=223122
550,7/19/2012,19 to 26,Male,Garment worker,Hanging,quarrel with spouse,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=242861
703,3/31/2013,19 to 26,Female,Student,hanging,mental illness,Afternoon,Dhaka,http://archive.thedailystar.net/beta2/news/news-in-brief-4/
940,9/9/2014,19 to 26,Female,not given,Hanging,family feud,11:00:00,Dhaka,http://www.thedailystar.net/three-commit-suicide-in-capital-41028
246,4/18/2011,19 to 26,Female,NGO activist,Hanging,family feud,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=182230
500,4/30/2012,19 to 26,Female,Housewife,Poison,family feud,7:00:00,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=232374
554,7/22/2012,19 to 26,Female,Student,Hanging,quarrel with spouse,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=243258
42,3/16/2010,19 to 26,Female,Housewife,Hanging,family feud,23:30:00,Netrokona,http://archive.thedailystar.net/newDesign/news-details.php?nid=130555
957,10/19/2014,19 to 26,Female,Garment Worker,Hanging,family feud,not given,Chittagong,http://www.thedailystar.net/news-in-brief-46692
976,11/23/2014,19 to 26,Male,student,Hanging,family feud,not given,Dhaka,http://www.thedailystar.net/news-in-brief-51817
336,9/6/2011,19 to 26,Female,housewife,Hanging,family feud,1899-12-30 00:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=201411
690,2/24/2013,19 to 26,Female,Housewife,hanging,quarrel with spouse,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=270378
39,3/9/2010,19 to 26,Female,Housewife,Poison,family feud,1:30:00,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=129560
102,8/20/2010,19 to 26,Female,Housewife,Hanging,torture,Morning,Narsingdi,http://archive.thedailystar.net/newDesign/news-details.php?nid=151743
12,1/29/2010,19 to 26,Male,not given,Hanging,family feud,Afternoon,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=124183
416,1/14/2012,19 to 26,Female,Housewife,Hanging,mental illness,Noon,Narayanganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=218419
463,3/22/2012,19 to 26,Female,Housewife,Fire,family feud,Night,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=227510
849,2/4/2014,19 to 26,Female,Housewife,Hanging,quarrel with spouse,Not given,Bogra,http://www.thedailystar.net/snippets-10109
638,10/21/2012,19 to 26,Female,not given,Hanging,family feud,not given,Chittagong,http://archive.thedailystar.net/newDesign/news-details.php?nid=254823
652,11/5/2012,19 to 26,Male,Expatriate,Poison,personal problem,Noon1,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=256496
208,2/28/2011,19 to 26,Female,housewife,Poison,family feud,afternoon,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=175929
389,11/29/2011,19 to 26,Female,housewife,Poison,family feud,night,Rangpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=212220
333,9/3/2011,19 to 26,Female,housewife,Poison,family feud,night,Brahmanbaria,http://archive.thedailystar.net/newDesign/news-details.php?nid=200993
758,7/14/2013,19 to 26,Female,Housewife,Hanging,family feud,Night,Dhaka,http://archive.thedailystar.net/beta2/news/two-commit-suicide-in-capital/
120,9/15/2010,19 to 26,Male,not given,Poison,financial problem,Morning,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=154654
119,9/15/2010,19 to 26,Female,Housewife,Poison,family feud,not given,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=154654
128,9/19/2010,19 to 26,Female,Housewife,Hanging,torture,Afternoon,Meherpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=155335
396,12/12/2011,19 to 26,Male,not given,Hanging,family feud,3:00:00,Jamalpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=213881
768,7/29/2013,19 to 26,Female,Housewife,-,family feud,Morning,Dhaka,http://archive.thedailystar.net/beta2/news/two-women-found-dead-in-capital/
727,5/18/2013,19 to 26,Male,not given,hanging,drug addict,Noon,Jamalpur,http://archive.thedailystar.net/beta2/news/snippets-31/
724,5/14/2013,19 to 26,Female,Student,hanging,personal problem,Morning,Jessore,http://archive.thedailystar.net/beta2/news/snippets-27/
115,9/11/2010,19 to 26,Male,Day labourer,Stabbing himself,personal problem,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=154386
720,5/5/2013,19 to 26,Male,not given,Poison,quarrel with spouse,19:30:00,Chuadanga,http://archive.thedailystar.net/beta2/news/snippets-21/
716,4/21/2013,19 to 26,Female,Housewife,hanging,family feud,Night,Tangail,http://archive.thedailystar.net/beta2/news/snaps-and-snippets-4/
705,4/5/2013,19 to 26,Male,not given,hanging,quarrel with spouse,Night,Chittagong,http://archive.thedailystar.net/beta2/news/man-commits-suicide-in-ctg-2/
151,10/31/2010,19 to 26,Female,not given,Poison,family feud,Noon,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=161054
475,4/1/2012,19 to 26,Female,Housewife,Poison,family feud,Morning,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=228812
800,9/28/2013,19 to 26,Female,Student,Hanging,mental disorder,20:30:00,Dhaka,http://archive.thedailystar.net/beta2/news/two-commit-suicide-in-capital-2/
689,2/8/2010,19 to 26,Male,Accused of muder,hanging,mental illness,10:00:00,Jhalokathi,http://archive.thedailystar.net/newDesign/news-details.php?nid=268502
677,1/4/2013,19 to 26,Male,not given,hanging,physical illness,Night,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=264003
95,8/13/2010,19 to 26,Male,not given,Poison,family feud,not given,Khagrachhari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150790
185,2/7/2011,19 to 26,Female,housewife,Hanging,tortured,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=173361
839,12/25/2013,19 to 26,Female,Housewife,Poison,family feud,-,Dinajpur,http://www.thedailystar.net/snippets-4081
624,9/30/2012,19 to 26,Female,Student,Poison,family feud,not given,Pabna,http://archive.thedailystar.net/newDesign/news-details.php?nid=252044
595,9/7/2012,19 to 26,Female,not given,Hanging,quarrel with spouse,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=248878
28,2/26/2010,19 to 26,Male,not given,Poison,family feud,Night,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=128170
534,6/19/2012,19 to 26,Female,Housewife,Poison,family feud,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=239023
46,3/27/2010,19 to 26,Female,Housewife,Hanging,family feud,Night,Manikganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=132156
905,6/15/2014,19 to 26,Female,Housewife,Hanging,quarrel with husband,-,Bhola,http://www.thedailystar.net/newsarchive/snippets-28917
511,5/11/2012,19 to 26,Female,Accountant,Fire,family feud,Night,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=233902
353,9/29/2011,19 to 26,Male,student,Hanging,frustration,night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=204545
536,6/22/2012,19 to 26,Female,Student,Jumped in front of train,personal problem,10:20:00,Pabna,http://archive.thedailystar.net/newDesign/news-details.php?nid=239397
274,6/4/2011,19 to 26,Male,not given,Poison,illness,afternoon,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=188716
513,5/13/2012,19 to 26,Female,Housewife,Hanging,family feud,17:00:00,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=234016
623,10/1/2012,19 to 26,Female,not given,Poison,family feud,14:00:00,Chittagong,http://archive.thedailystar.net/newDesign/news-details.php?nid=252131
260,5/7/2011,19 to 26,Female,housewife,Hanging,tortured,night,Pabna,http://archive.thedailystar.net/newDesign/news-details.php?nid=184731
415,1/14/2012,19 to 26,Female,Housewife,Hanging,mental illness,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=218419
30,3/1/2010,19 to 26,Female,Office manager,Hanging,personal problem,Afternoon,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=128346
426,2/3/2012,19 to 26,Female,Housewife,Hanging,mental illness,1:00:00,Natore,http://archive.thedailystar.net/newDesign/news-details.php?nid=221138
281,6/13/2011,19 to 26,Male,rickshawpuller,Hanging,family feud,night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=189946
535,6/19/2012,19 to 26,Female,Housewife,Hanging,mental illness,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=239023
276,6/9/2011,19 to 26,Female,housewife,Hanging,mental illness,morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=189354
505,5/7/2012,19 to 26,Female,Housewife,Poison,family feud,Morning,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=233234
141,10/12/2010,19 to 26,Male,not given,Poison,family feud,Evening,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=158565
187,2/8/2011,19 to 26,Male,not given,Jumped,family feud,11:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=173477
567,8/1/2012,19 to 26,Female,not given,Hanging,family feud,Night,Sirajganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=244600
889,5/4/2014,19 to 26,Male,Student,Jumping off,mental disorder,18:00:00,Dhaka,http://www.thedailystar.net/newsarchive/news-in-brief-22777
810,10/25/2013,19 to 26,Male,not given,Hanging,family feud,Morning,Comilla,http://archive.thedailystar.net/beta2/news/snaps-and-snippets-25/
417,1/18/2012,19 to 26,Male,not given,Poison,mental illness,3:30:00,Chittagong,http://archive.thedailystar.net/newDesign/news-details.php?nid=218979
148,10/29/2010,19 to 26,Female,Housewife,Poison,family feud,Morning,Dinajpur,http://archive.thedailystar.net/newDesign/archive.php?date=2010-10-31
973,11/13/2014,19 to 26,Female,student,Hanging,torture,evening,Dhaka,http://www.thedailystar.net/suicide-or-murder-50317
351,9/23/2011,19 to 26,Male,pesticide trader,Poison,family feud,not given,Jamalpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=203760
712,4/6/2013,19 to 26,Male,not given,hanging,personal problem,Night,Lalmonirhat,http://archive.thedailystar.net/beta2/news/ansar-man-2-youths-commit-suicide/
731,5/31/2013,19 to 26,Female,Housewife,hanging,family feud,not given,Dhaka,http://archive.thedailystar.net/beta2/news/housewife-commits-suicide-in-capital/
311,7/21/2011,19 to 26,Female,housewife,Poison,tortured,7:30:00,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=195225
294,7/4/2011,19 to 26,Female,housewife,Hanging,family feud,afternoon,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=192945
451,3/11/2012,19 to 26,Female,Housewife,Poison,family feud,0:45:00,Chittagong,http://archive.thedailystar.net/newDesign/news-details.php?nid=225963
237,4/12/2011,19 to 26,Male,Newly married man,Poison,family feud,10:00:00,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=181548
649,11/3/2012,19 to 26,Male,Student,Jumping off river,academic problem,22:00:00,Patuakhali,http://archive.thedailystar.net/newDesign/news-details.php?nid=256240
543,7/1/2012,19 to 26,Female,Housewife,Poison,quarrel with spouse,Morning,Magura,http://archive.thedailystar.net/newDesign/news-details.php?nid=240733
300,7/13/2011,27 to 35,Female,housewife,Hanging,family feud,12:15:00,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=194195
345,9/16/2011,27 to 35,Female,ex garments worker,Hanging,humiliation,night,Narsingdi,http://archive.thedailystar.net/newDesign/news-details.php?nid=202843
109,9/3/2010,27 to 35,Female,not given,Hanging,torture,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=153575
222,3/14/2011,27 to 35,Female,housewife,Hanging,family feud,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=177787
708,4/6/2013,27 to 35,Male,School peon,hanging,physical illness; financial problem,not given,Pabna,http://archive.thedailystar.net/beta2/news/girl-woman-commit-suicide/
443,3/3/2012,27 to 35,Male,not given,Hanging,family feud,5:30:00,Shatkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=224834
863,3/12/2014,27 to 35,Male,Doctor,Poison,family feud,Noon,Sylhet,http://www.thedailystar.net/two-siblings-kill-themselves-after-friends-suicide-15384
885,4/25/2014,27 to 35,Male,CNG-run auto rickshaw driver,Hanging,not mentioned,Night,Chittagong,http://www.thedailystar.net/newsarchive/newsi-n-brief-21654
397,12/13/2011,27 to 35,Male,not given,Poison,family feud,not given,Pabna,http://archive.thedailystar.net/newDesign/news-details.php?nid=214098
896,6/1/2014,27 to 35,Male,not given,Jumping off,mental disorder,-,Dhaka,http://www.thedailystar.net/newsarchive/news-in-brief-26705
755,7/8/2013,27 to 35,Female,Housewife,Poison,family feud,Evening,Bogra,http://archive.thedailystar.net/beta2/news/housewife-commits-suicide-3/
93,8/13/2010,27 to 35,Female,Housewife,Setting fire,torture,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=150712
820,11/19/2013,27 to 35,Female,Housewife,Burning,family feud,Morning,Chuadanga,http://archive.thedailystar.net/beta2/news/housewifecollege-girlcommit-suicide/
958,10/21/2014,27 to 35,Male,not given,Hanging,frustration,morning,Jhenidah,http://www.thedailystar.net/youth-kills-himself-after-killing-cousin-46852
756,7/12/2013,27 to 35,Female,Housewife,Hanging,family feud,-,Dhaka,http://archive.thedailystar.net/beta2/news/two-commit-suicide/
122,9/16/2010,27 to 35,Female,not given,Hanging,family feud,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=154728
945,9/14/2014,27 to 35,Female,Housewife,Poison,family feud,12:30:00,Thakurgaon,http://www.thedailystar.net/snippets-41683
971,11/8/2014,27 to 35,Male,suspected rapist,poison,humiliation,not given,Bandarban,http://www.thedailystar.net/snippets-49437
343,9/12/2011,27 to 35,Male,cable connector,Hanging,family feud,morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=202244
956,10/20/2014,27 to 35,Female,Garment Worker,Hanging,family feud,not given,Chittagong,http://www.thedailystar.net/news-in-brief-46692
5,1/14/2010,27 to 35,Female,Housewife,Jumped in front of train,family feud,Morning,Magura,http://archive.thedailystar.net/newDesign/news-details.php?nid=122540
363,10/8/2011,27 to 35,Male,trader,Shot,family feud,not given,Naryanganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=205721
116,9/15/2010,27 to 35,Male,not given,Setting fire,family feud,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=154611
732,5/31/2013,27 to 35,Female,Housewife,Setting fire,torture,Afternoon,Patuakhali,http://archive.thedailystar.net/beta2/news/agonised-she-kills-herself/
780,8/10/2013,27 to 35,Male,not given,Poison,family feud,Night,Panchagarh,http://archive.thedailystar.net/beta2/news/six-commit-suicide-in-three-districts/
140,10/7/2010,27 to 35,Male,not given,Hanging,family feud,Night,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=157735
728,5/21/2013,27 to 35,Male,not given,Poison,family feud,Evening,Chuadanga,http://archive.thedailystar.net/beta2/news/snippets-33/
806,10/17/2013,27 to 35,Male,not given,Hanging,family feud,Morning,Comilla,http://archive.thedailystar.net/beta2/news/two-commit-suicide-2/
900,6/10/2014,27 to 35,Female,Housewife,Jumping off,family feud,-,Chittagong,http://www.thedailystar.net/newsarchive/news-in-brief-28056
236,4/10/2011,27 to 35,Female,housewife,Poison,family feud,2:00:00,Khagrachhari,http://archive.thedailystar.net/newDesign/news-details.php?nid=181339
491,4/15/2012,27 to 35,Male,Farmer,Hanging,illness,Morning,Magura,http://archive.thedailystar.net/newDesign/news-details.php?nid=230434
458,3/20/2012,27 to 35,Female,not given,Hanging,mental disorder,14:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=227156
658,11/11/2012,27 to 35,Female,Housewife,Poison,family feud,20:30:00,Bogra,http://archive.thedailystar.net/newDesign/news-details.php?nid=257416
84,8/5/2010,27 to 35,Female,not given,Setting fire,torture,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=150186
96,8/13/2010,27 to 35,Male,not given,Poison,family feud,not given,Khagrachhari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150790
375,11/11/2011,27 to 35,Male,grocer,Hanging,illness,9:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=209772
851,2/15/2014,27 to 35,Female,Not given,Jumping off building,quarrel with spouse,Morning,Chittagong,http://www.thedailystar.net/news-in-brief-11534
926,8/4/2014,27 to 35,Female,Housewife,Hanging,marital problem,Evening,Chittagong,http://www.thedailystar.net/woman-commits-suicide-in-chittagong-35972
801,9/27/2013,27 to 35,Female,Housewife,Poison,family feud,16:00:00,Bogra,http://archive.thedailystar.net/beta2/news/2-housewives-commit-suicide-in-bogra/
